site_id,variable,n,finite_prop,zeros,ties_prop,n_gaps
ARIK,oxygen,2003,1,0,0,32
BARC,oxygen,1630,1,0,0,63
BIGC,oxygen,1597,1,0,0,11
BLDE,oxygen,1490,1,0,0,6
BLUE,oxygen,1165,1,0,0,12
BLWA,oxygen,835,1,0,0,12
CARI,oxygen,1059,1,0,0,9
COMO,oxygen,1900,1,0,0,11
CRAM,oxygen,512,1,0,0,23
CUPE,oxygen,1918,1,0,0,19
FLNT,oxygen,1366,1,0,0,12
GUIL,oxygen,1772,1,0,0,10
HOPB,oxygen,2069,1,0,0,9
KING,oxygen,1466,1,0,0,16
LECO,oxygen,1107,1,0,0,4
LEWI,oxygen,2217,1,0,0,5
LIRO,oxygen,483,1,0,0,9
MART,oxygen,2056,1,0,0,15
MAYF,oxygen,2483,1,0,0,23
MCDI,oxygen,1976,1,0,0,22
MCRA,oxygen,1635,1,0,0,15
OKSR,oxygen,354,1,0,0,10
POSE,oxygen,2343,1,0,0,14
PRIN,oxygen,1903,1,0,0,18
PRLA,oxygen,476,1,0,0,13
PRPO,oxygen,840,1,0,0,16
REDB,oxygen,1257,1,0,0,16
SUGG,oxygen,1658,1,0,0,45
SYCA,oxygen,968,1,0,0,28
TECR,oxygen,1383,1,0,0,12
TOMB,oxygen,726,1,0,0,28
TOOK,oxygen,243,1,0,0,13
WALK,oxygen,1218,1,0,0,8
WLOU,oxygen,1747,1,0,0,17
ARIK,temperature,1616,1,0,0,12
BARC,temperature,1630,1,0,0,23
BIGC,temperature,1332,1,0,0,13
BLDE,temperature,1773,1,0,0,39
BLUE,temperature,1558,1,0,0,7
BLWA,temperature,1048,1,0,0,26
CARI,temperature,891,1,0,0,13
COMO,temperature,1569,1,0,0,43
CRAM,temperature,990,1,0,0,8
CUPE,temperature,1637,1,0,0,19
FLNT,temperature,1296,1,0,0,14
GUIL,temperature,1616,1,0,0,24
HOPB,temperature,2127,1,0,0,20
KING,temperature,1627,1,0,0,54
LECO,temperature,1847,1,0,0,8
LEWI,temperature,2357,1,0,0,8
LIRO,temperature,987,1,0,0,10
MART,temperature,1281,1,0,0,12
MAYF,temperature,2380,1,0,0,31
MCDI,temperature,1780,1,0,0,9
MCRA,temperature,1529,1,0,0,20
OKSR,temperature,435,1,0,0,10
POSE,temperature,1948,1,0,0,18
PRIN,temperature,1998,1,0,0,20
PRLA,temperature,712,1,0,0,7
PRPO,temperature,973,1,0,0,9
REDB,temperature,1372,1,0,0,17
SUGG,temperature,2079,1,0,0,37
SYCA,temperature,1221,1,0,0,40
TECR,temperature,1342,1,0,0,14
TOMB,temperature,943,1,0,0,27
TOOK,temperature,247,1,0,0,9
WALK,temperature,2453,1,0,0,12
WLOU,temperature,1847,1,0,0,20
NA,NA,0,NA,0,NA,0
BARC,chla,1569,1,1,6.373486297004461e-4,68
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
BLWA,chla,876,1,0,0,12
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
CRAM,chla,812,1,0,0,26
NA,NA,0,NA,0,NA,0
FLNT,chla,1411,1,0,0,12
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
LIRO,chla,822,1,0,0,20
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
PRLA,chla,525,1,0,0,9
PRPO,chla,839,1,1,0.0011918951132300357,20
NA,NA,0,NA,0,NA,0
SUGG,chla,1730,1,0,0,44
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
TOMB,chla,772,1,18,0.023316062176165803,26
TOOK,chla,245,1,0,0,12
NA,NA,0,NA,0,NA,0
NA,NA,0,NA,0,NA,0
